REGISTRO DE EPISÓDIOS - APRENDIZADO POR REFORÇO
=================================================
Formato: Episódio | Resultado | Tempo (s) | Distância (m) | Pontos | Epsilon
-------------------------------------------------
       0 | Seguiu o caminho |   101.13 |         8.06 |  1516.00 |   0.600
       1 | Colidiu          |    82.41 |        11.86 |  1234.00 |   0.597
       2 | Colidiu          |    94.54 |        16.10 |  1756.00 |   0.594
       3 | Colidiu          |    19.37 |         6.32 |   375.00 |   0.591
       4 | Seguiu o caminho |   100.93 |        12.38 |  1866.00 |   0.588
       5 | Seguiu o caminho |   101.09 |         8.32 |  1456.00 |   0.585
       6 | Atingiu o objetivo |    79.84 |        19.50 |  1659.00 |   0.582
       7 | Colidiu          |    83.66 |        16.80 |  1439.00 |   0.579
       8 | Colidiu          |    36.35 |        12.58 |   711.00 |   0.576
       9 | Colidiu          |    39.97 |        13.40 |   801.00 |   0.574
      10 | Colidiu          |    19.98 |         6.31 |   329.00 |   0.571
      11 | Colidiu          |    77.99 |        26.61 |  1694.50 |   0.568
      12 | Atingiu o objetivo |    53.73 |        19.43 |  1779.00 |   0.565
      13 | Seguiu o caminho |   101.07 |        10.57 |  1364.00 |   0.562
      14 | Seguiu o caminho |   101.08 |        12.24 |  1309.00 |   0.559
      15 | Seguiu o caminho |   100.97 |        12.90 |  1890.00 |   0.557
      16 | Seguiu o caminho |   101.06 |        13.94 |  1758.00 |   0.554
      17 | Colidiu          |     0.21 |         0.05 |  -100.00 |   0.551
      18 | Seguiu o caminho |   101.08 |        11.58 |  1830.00 |   0.548
      19 | Colidiu          |    21.05 |         8.49 |   391.00 |   0.545
      20 | Seguiu o caminho |   101.00 |        14.31 |  2176.00 |   0.543
      21 | Colidiu          |    27.66 |         8.11 |   204.00 |   0.540
      22 | Colidiu          |    31.53 |        11.17 |   799.00 |   0.537
      23 | Colidiu          |    51.51 |        20.03 |  1440.00 |   0.535
      24 | Colidiu          |    29.91 |        10.94 |   791.00 |   0.532
      25 | Colidiu          |    27.67 |         6.73 |   430.00 |   0.529
      26 | Colidiu          |    30.52 |        11.70 |   774.00 |   0.527
      27 | Colidiu          |    41.60 |        16.30 |  1144.00 |   0.524
      28 | Colidiu          |    64.02 |        20.92 |  1603.00 |   0.521
      29 | Colidiu          |    19.19 |         7.18 |   330.00 |   0.519
      30 | Colidiu          |    17.39 |         6.45 |   320.00 |   0.516
      31 | Colidiu          |    16.36 |         6.40 |   349.00 |   0.514
      32 | Colidiu          |    76.99 |        20.01 |  1240.00 |   0.511
      33 | Colidiu          |    53.55 |        17.00 |  1199.00 |   0.509
      34 | Atingiu o objetivo |    84.50 |        21.19 |  1722.00 |   0.506
      35 | Atingiu o objetivo |    48.71 |        19.64 |  1805.00 |   0.503
      36 | Colidiu          |    30.71 |        10.86 |   813.00 |   0.501
      37 | Colidiu          |    78.64 |        26.99 |  1763.00 |   0.498
      38 | Colidiu          |    55.77 |        23.27 |  1712.50 |   0.496
      39 | Colidiu          |    22.25 |         6.76 |   381.00 |   0.493
      40 | Colidiu          |    24.87 |         8.28 |   557.00 |   0.491
      41 | Seguiu o caminho |   101.06 |        13.63 |  1897.00 |   0.489
      42 | Colidiu          |    39.61 |        15.01 |    12.00 |   0.486
      43 | Colidiu          |    30.52 |        11.27 |   825.00 |   0.484
      44 | Seguiu o caminho |   101.02 |        14.54 |  1968.00 |   0.481
      45 | Colidiu          |    16.59 |        13.36 |  -122.50 |   0.479
      46 | Colidiu          |    43.64 |        17.36 |  1241.00 |   0.476
      47 | Colidiu          |    17.39 |         6.69 |   361.00 |   0.474
      48 | Colidiu          |    22.44 |         8.45 |   416.00 |   0.472
      49 | Colidiu          |    69.90 |        25.40 |  1730.50 |   0.469
      50 | Colidiu          |    18.80 |         7.69 |   523.00 |   0.467
      51 | Colidiu          |    17.20 |         6.65 |   337.00 |   0.465
      52 | Colidiu          |    65.04 |        22.22 |  1550.50 |   0.462
      53 | Colidiu          |    24.46 |         6.84 |   360.00 |   0.460
      54 | Colidiu          |    23.83 |         7.40 |   410.00 |   0.458
      55 | Seguiu o caminho |   101.09 |        14.25 |  1981.00 |   0.455
      56 | Atingiu o objetivo |    48.79 |        14.63 |   807.00 |   0.453
      57 | Seguiu o caminho |   101.03 |        16.46 |  2413.00 |   0.451
      58 | Seguiu o caminho |   101.01 |        14.88 |  1782.00 |   0.449
      59 | Seguiu o caminho |   101.06 |        13.62 |  2109.00 |   0.446
      60 | Colidiu          |    75.34 |        18.28 |  1823.00 |   0.444
      61 | Colidiu          |    29.30 |        10.77 |   789.00 |   0.442
      62 | Seguiu o caminho |   101.06 |        14.31 |  2249.00 |   0.440
      63 | Atingiu o objetivo |    20.61 |        13.11 |   364.00 |   0.438
      64 | Atingiu o objetivo |    95.39 |        24.01 |  2010.00 |   0.435
      65 | Seguiu o caminho |   101.06 |        13.41 |  2390.00 |   0.433
      66 | Seguiu o caminho |   101.01 |        14.99 |  1437.00 |   0.431
      67 | Atingiu o objetivo |    30.92 |        14.96 |   684.00 |   0.429
      68 | Seguiu o caminho |   101.07 |        15.05 |  2429.00 |   0.427
      69 | Seguiu o caminho |   101.11 |        12.92 |  1184.00 |   0.425
      70 | Seguiu o caminho |   101.04 |        17.02 |  1832.00 |   0.422
      71 | Seguiu o caminho |   101.04 |        15.70 |  1852.00 |   0.420
      72 | Seguiu o caminho |   101.09 |        12.33 |  1639.00 |   0.418
      73 | Seguiu o caminho |   101.06 |        15.17 |  2391.00 |   0.416
      74 | Atingiu o objetivo |     1.22 |         9.85 |   120.00 |   0.414
      75 | Seguiu o caminho |   101.05 |        11.12 |  2095.00 |   0.412
      76 | Seguiu o caminho |   101.06 |         5.44 |  1613.00 |   0.410
      77 | Atingiu o objetivo |    48.29 |        16.41 |  1108.00 |   0.408
      78 | Atingiu o objetivo |    81.44 |        23.43 |  1956.00 |   0.406
      79 | Colidiu          |    15.14 |         6.42 |   376.00 |   0.404
      80 | Atingiu o objetivo |    88.95 |        24.48 |  2360.00 |   0.402
      81 | Seguiu o caminho |   101.07 |        13.66 |  2232.00 |   0.400
      82 | Colidiu          |    46.31 |        11.49 |   703.00 |   0.398
      83 | Seguiu o caminho |   101.09 |        14.30 |  2275.50 |   0.396
      84 | Seguiu o caminho |   101.02 |        16.99 |  1727.00 |   0.394
      85 | Colidiu          |    57.19 |        16.08 |   610.00 |   0.392
      86 | Seguiu o caminho |   101.06 |        14.90 |  2205.00 |   0.390
      87 | Seguiu o caminho |   101.04 |        12.80 |  2134.00 |   0.388
      88 | Seguiu o caminho |   101.04 |        16.14 |  1807.00 |   0.386
      89 | Seguiu o caminho |   101.09 |        11.02 |  1622.00 |   0.384
      90 | Seguiu o caminho |   101.04 |        13.84 |  2053.00 |   0.382
      91 | Seguiu o caminho |   101.09 |        14.50 |  2095.00 |   0.380
      92 | Seguiu o caminho |   101.02 |        14.11 |  1908.00 |   0.378
      93 | Atingiu o objetivo |    96.88 |        23.96 |  2595.00 |   0.376
