REGISTRO DE EPISÓDIOS - APRENDIZADO POR REFORÇO
=================================================
Formato: Episódio | Resultado | Tempo (s) | Distância (m) | Pontos | Epsilon
-------------------------------------------------
       0 | Colidiu          |  1286.04 |         6.05 |   147.50 |   1.000
       1 | Colidiu          |    28.89 |         4.97 |   317.00 |   0.995
       2 | Colidiu          |    72.30 |        12.35 |  1046.00 |   0.990
       3 | Colidiu          |    27.68 |         4.14 |   181.00 |   0.985
       4 | Colidiu          |    41.44 |         7.67 |   580.00 |   0.980
       5 | Colidiu          |    22.05 |         5.07 |   216.00 |   0.975
       6 | Seguiu o caminho |   101.00 |        10.50 |  1627.00 |   0.970
       7 | Colidiu          |     9.89 |        11.06 |    13.00 |   0.966
       8 | Colidiu          |    32.50 |         6.81 |   427.00 |   0.961
       9 | Colidiu          |    78.31 |        15.26 |   930.00 |   0.956
      10 | Seguiu o caminho |   100.93 |         9.46 |  1680.00 |   0.951
      11 | Colidiu          |    21.00 |        11.62 |    93.00 |   0.946
      12 | Colidiu          |    34.32 |         6.37 |   326.00 |   0.942
      13 | Colidiu          |    57.13 |        11.89 |   898.00 |   0.937
      14 | Colidiu          |    28.87 |         6.81 |   416.00 |   0.932
      15 | Colidiu          |    43.00 |         9.55 |   724.00 |   0.928
      16 | Colidiu          |    91.45 |        14.36 |  1095.00 |   0.923
      17 | Colidiu          |    40.78 |         7.14 |   463.00 |   0.918
      18 | Seguiu o caminho |   100.94 |        11.16 |  1908.00 |   0.914
      19 | Colidiu          |    65.22 |        18.79 |   512.00 |   0.909
      20 | Colidiu          |    81.77 |        16.89 |  1053.00 |   0.905
      21 | Seguiu o caminho |   100.93 |        10.20 |  1300.00 |   0.900
      22 | Colidiu          |     6.87 |         5.54 |  -155.00 |   0.896
      23 | Colidiu          |    67.84 |        17.05 |  1340.00 |   0.891
      24 | Colidiu          |    34.33 |         6.65 |   398.00 |   0.887
      25 | Seguiu o caminho |   100.94 |        10.48 |  1701.00 |   0.882
      26 | Colidiu          |    22.21 |        11.65 |   127.50 |   0.878
      27 | Colidiu          |    82.98 |        15.02 |  1146.00 |   0.873
      28 | Colidiu          |    29.08 |         6.60 |   404.00 |   0.869
      29 | Colidiu          |    68.04 |        13.85 |   916.00 |   0.865
      30 | Colidiu          |    60.98 |        12.34 |   846.00 |   0.860
      31 | Colidiu          |    87.82 |        14.17 |  1159.00 |   0.856
      32 | Colidiu          |    33.92 |         6.45 |   411.00 |   0.852
      33 | Seguiu o caminho |   100.95 |        11.22 |  1712.00 |   0.848
      34 | Seguiu o caminho |   100.94 |         9.18 |  1059.00 |   0.843
      35 | Colidiu          |    38.36 |         9.83 |   327.00 |   0.839
      36 | Colidiu          |    36.35 |         6.98 |   465.00 |   0.835
      37 | Colidiu          |    31.29 |         6.45 |   397.00 |   0.831
      38 | Colidiu          |    43.61 |         7.20 |   502.00 |   0.827
      39 | Colidiu          |    23.02 |         6.46 |   369.00 |   0.822
      40 | Colidiu          |    32.51 |         6.73 |   437.00 |   0.818
      41 | Seguiu o caminho |   100.94 |        10.68 |  1842.00 |   0.814
      42 | Atingiu o objetivo |    19.99 |        11.02 |   330.00 |   0.810
      43 | Seguiu o caminho |   100.94 |        10.97 |  1555.00 |   0.806
      44 | Seguiu o caminho |   100.97 |         8.96 |  1006.00 |   0.802
      45 | Colidiu          |    53.71 |        15.47 |   452.00 |   0.798
      46 | Seguiu o caminho |   100.95 |        10.41 |  1715.00 |   0.794
      47 | Colidiu          |    56.34 |        16.25 |   344.50 |   0.790
      48 | Atingiu o objetivo |    98.12 |        20.82 |  1499.00 |   0.786
      49 | Colidiu          |    70.06 |        14.94 |  1072.00 |   0.782
      50 | Seguiu o caminho |   100.95 |        11.25 |  1586.00 |   0.778
      51 | Colidiu          |    36.14 |         6.08 |   254.00 |   0.774
      52 | Colidiu          |    69.06 |        15.29 |  1096.00 |   0.771
      53 | Colidiu          |    30.50 |         6.61 |   411.00 |   0.767
      54 | Seguiu o caminho |   100.96 |        11.51 |  1557.00 |   0.763
      55 | Seguiu o caminho |   100.95 |        10.41 |  1522.00 |   0.759
      56 | Colidiu          |    56.74 |        12.33 |   745.00 |   0.755
      57 | Colidiu          |    56.74 |         8.83 |   615.00 |   0.751
      58 | Colidiu          |    89.65 |        17.39 |  1421.00 |   0.748
      59 | Colidiu          |    47.85 |        11.44 |   803.00 |   0.744
      60 | Colidiu          |    22.22 |         6.56 |   366.00 |   0.740
      61 | Seguiu o caminho |   100.95 |        10.88 |  1752.00 |   0.737
      62 | Seguiu o caminho |   100.96 |         7.43 |  1511.00 |   0.733
      63 | Seguiu o caminho |   100.96 |         9.93 |  1663.00 |   0.729
      64 | Seguiu o caminho |   100.95 |         8.88 |  1394.00 |   0.726
      65 | Colidiu          |    28.27 |         9.19 |   270.00 |   0.722
      66 | Colidiu          |    24.44 |         6.45 |   411.00 |   0.718
      67 | Seguiu o caminho |   100.95 |        12.27 |  1645.00 |   0.715
      68 | Colidiu          |    94.30 |        10.46 |  1029.00 |   0.711
      69 | Seguiu o caminho |   100.95 |        10.96 |  1441.00 |   0.708
      70 | Colidiu          |    40.59 |         6.06 |   414.00 |   0.704
      71 | Colidiu          |    49.28 |        11.18 |   875.00 |   0.701
      72 | Colidiu          |    88.03 |        14.62 |  1200.00 |   0.697
      73 | Colidiu          |    85.62 |        10.40 |   966.00 |   0.694
      74 | Colidiu          |    23.43 |         6.57 |   438.00 |   0.690
      75 | Colidiu          |    56.33 |        10.85 |   832.00 |   0.687
      76 | Colidiu          |    67.84 |        10.36 |   924.50 |   0.683
      77 | Colidiu          |    42.20 |        10.79 |   814.00 |   0.680
      78 | Colidiu          |    44.62 |         7.14 |   520.00 |   0.676
      79 | Seguiu o caminho |   100.97 |        10.79 |  1649.00 |   0.673
      80 | Colidiu          |    26.26 |         6.63 |   400.00 |   0.670
      81 | Colidiu          |    69.67 |        12.68 |  1110.00 |   0.666
      82 | Colidiu          |    81.37 |        17.29 |  1410.00 |   0.663
      83 | Colidiu          |    53.50 |        11.86 |   952.00 |   0.660
      84 | Seguiu o caminho |   100.96 |        11.61 |  1381.00 |   0.656
      85 | Seguiu o caminho |   100.96 |         6.32 |   877.00 |   0.653
      86 | Colidiu          |    51.09 |         8.10 |   524.00 |   0.650
      87 | Colidiu          |    64.62 |        14.39 |  1174.00 |   0.647
      88 | Seguiu o caminho |   100.96 |        12.33 |  1924.00 |   0.643
      89 | Colidiu          |     9.29 |         9.02 |  -100.00 |   0.640
      90 | Colidiu          |    87.23 |        15.33 |  1281.00 |   0.637
      91 | Colidiu          |    88.25 |        20.56 |  1685.00 |   0.634
      92 | Seguiu o caminho |   100.97 |        12.76 |  1696.00 |   0.631
      93 | Colidiu          |    68.66 |        13.91 |   402.00 |   0.627
      94 | Seguiu o caminho |   100.97 |        11.51 |  1626.00 |   0.624
      95 | Seguiu o caminho |   100.96 |        11.00 |  1444.00 |   0.621
      96 | Seguiu o caminho |   100.96 |        11.03 |  1269.00 |   0.618
      97 | Seguiu o caminho |   100.97 |        10.55 |  1162.00 |   0.615
      98 | Seguiu o caminho |   100.96 |         9.94 |   983.00 |   0.612
      99 | Colidiu          |    16.56 |         6.45 |     8.00 |   0.609
     100 | Seguiu o caminho |   100.97 |        13.56 |  2073.00 |   0.606
     101 | Seguiu o caminho |   100.97 |        11.50 |  1227.00 |   0.603
     102 | Seguiu o caminho |   100.97 |        12.09 |  1472.00 |   0.600
     103 | Seguiu o caminho |   100.98 |         9.72 |  1288.00 |   0.597
     104 | Seguiu o caminho |   100.97 |         5.94 |   870.00 |   0.594
     105 | Seguiu o caminho |   100.96 |        10.82 |  1443.00 |   0.591
     106 | Seguiu o caminho |   100.97 |        12.31 |  2052.00 |   0.588
     107 | Atingiu o objetivo |     5.25 |        10.61 |   181.00 |   0.585
     108 | Seguiu o caminho |   100.96 |        12.81 |  2105.00 |   0.582
     109 | Atingiu o objetivo |     9.30 |        11.04 |   177.00 |   0.579
     110 | Seguiu o caminho |   100.97 |        11.69 |  1804.00 |   0.576
     111 | Seguiu o caminho |   100.97 |         7.17 |  1286.00 |   0.573
     112 | Atingiu o objetivo |    18.38 |        13.07 |   488.00 |   0.570
     113 | Seguiu o caminho |   100.97 |         6.91 |  1052.00 |   0.568
     114 | Seguiu o caminho |   100.97 |         5.60 |   357.00 |   0.565
     115 | Seguiu o caminho |   100.97 |         6.69 |   815.00 |   0.562
     116 | Colidiu          |    90.27 |        18.87 |  1448.00 |   0.559
     117 | Seguiu o caminho |   100.97 |        14.52 |  1892.00 |   0.556
     118 | Seguiu o caminho |   100.97 |        13.13 |  1354.00 |   0.554
     119 | Seguiu o caminho |   100.95 |        10.17 |  1324.00 |   0.551
     120 | Seguiu o caminho |   100.96 |        11.73 |  1761.00 |   0.548
     121 | Seguiu o caminho |   101.00 |        10.20 |  1427.00 |   0.545
     122 | Colidiu          |    46.45 |         8.52 |   328.00 |   0.543
     123 | Atingiu o objetivo |    84.64 |        21.26 |  2005.00 |   0.540
     124 | Atingiu o objetivo |    75.94 |        21.86 |  1871.00 |   0.537
     125 | Atingiu o objetivo |    63.83 |        20.79 |  1759.00 |   0.534
     126 | Seguiu o caminho |   100.99 |        11.29 |  1575.00 |   0.532
     127 | Seguiu o caminho |   100.99 |        14.58 |  1918.00 |   0.529
